ids,sentences
5.1.1.1,rājovāca
5.1.2.1,na nūnaṁ mukta-saṅgānāṁ
5.1.2.2,tādṛśānāṁ dvijarṣabha
5.1.2.3,gṛheṣv abhiniveśo ’yaṁ
5.1.2.4,puṁsāṁ bhavitum arhati
5.1.3.1,mahatāṁ khalu viprarṣe
5.1.3.2,uttamaśloka-pādayoḥ
5.1.3.3,chāyā-nirvṛta-cittānāṁ
5.1.3.4,na kuṭumbe spṛhā-matiḥ
5.1.4.1,saṁśayo ’yaṁ mahān brahman
5.1.4.2,dārāgāra-sutādiṣu
5.1.4.3,saktasya yat siddhir abhūt
5.1.4.4,kṛṣṇe ca matir acyutā
5.1.5.1,śrī-śuka uvāca
5.1.6.1,yarhi vāva ha rājan sa rāja-putraḥ priyavrataḥ parama-bhāgavato nāradasya caraṇopasevayāñjasāvagata-paramārtha-satattvo brahma-satreṇa dīkṣiṣyamāṇo ’vani-tala-paripālanāyāmnāta-pravara-guṇa-gaṇaikānta-bhājanatayā sva-pitropāmantrito bhagavati vāsudeva evāvyavadhāna-samādhi-yogena samāveśita-sakala-kāraka-kriyā-kalāpo naivābhyanandad yadyapi tad apratyāmnātavyaṁ tad-adhikaraṇa ātmano ’nyasmād asato ’pi parābhavam anvīkṣamāṇaḥ.
5.1.7.1,atha ha bhagavān ādi-deva etasya guṇa-visargasya paribṛṁhaṇānudhyāna-vyavasita-sakala-jagad-abhiprāya ātma-yonir akhila-nigama-nija-gaṇa-pariveṣṭitaḥ sva-bhavanād avatatāra.
5.1.8.1,sa tatra tatra gagana-tala uḍu-patir iva vimānāvalibhir anupatham amara-parivṛḍhair abhipūjyamānaḥ pathi pathi ca varūthaśaḥ siddha-gandharva-sādhya-cāraṇa-muni-gaṇair upagīyamāno gandha-mādana-droṇīm avabhāsayann upasasarpa.
5.1.9.1,tatra ha vā enaṁ devarṣir haṁsa-yānena pitaraṁ bhagavantaṁ hiraṇya-garbham upalabhamānaḥ sahasaivotthāyārhaṇena saha pitā-putrābhyām avahitāñjalir upatasthe.
5.1.10.1,bhagavān api bhārata tad-upanītārhaṇaḥ sūkta-vākenātitarām udita-guṇa-gaṇāvatāra-sujayaḥ priyavratam ādi-puruṣas taṁ sadaya-hāsāvaloka iti hovāca.
5.1.11.1,śrī-bhagavān uvāca
5.1.12.1,na tasya kaścit tapasā vidyayā vā
5.1.12.2,na yoga-vīryeṇa manīṣayā vā
5.1.12.3,naivārtha-dharmaiḥ parataḥ svato vā
5.1.12.4,kṛtaṁ vihantuṁ tanu-bhṛd vibhūyāt
5.1.13.1,bhavāya nāśāya ca karma kartuṁ
5.1.13.2,śokāya mohāya sadā bhayāya
5.1.13.3,sukhāya duḥkhāya ca deha-yogam
5.1.13.4,avyakta-diṣṭaṁ janatāṅga dhatte
5.1.14.1,yad-vāci tantyāṁ guṇa-karma-dāmabhiḥ
5.1.14.2,sudustarair vatsa vayaṁ suyojitāḥ
5.1.14.3,sarve vahāmo balim īśvarāya
5.1.14.4,protā nasīva dvi-pade catuṣ-padaḥ
5.1.15.1,īśābhisṛṣṭaṁ hy avarundhmahe ’ṅga
5.1.15.2,duḥkhaṁ sukhaṁ vā guṇa-karma-saṅgāt
5.1.15.3,āsthāya tat tad yad ayuṅkta nāthaś
5.1.15.4,cakṣuṣmatāndhā iva nīyamānāḥ
5.1.16.1,mukto ’pi tāvad bibhṛyāt sva-deham
5.1.16.2,ārabdham aśnann abhimāna-śūnyaḥ
5.1.16.3,yathānubhūtaṁ pratiyāta-nidraḥ
5.1.16.4,kiṁ tv anya-dehāya guṇān na vṛṅkte
5.1.17.1,bhayaṁ pramattasya vaneṣv api syād
5.1.17.2,yataḥ sa āste saha-ṣaṭ-sapatnaḥ
5.1.17.3,jitendriyasyātma-rater budhasya
5.1.17.4,gṛhāśramaḥ kiṁ nu karoty avadyam
5.1.18.1,yaḥ ṣaṭ sapatnān vijigīṣamāṇo
5.1.18.2,gṛheṣu nirviśya yateta pūrvam
5.1.18.3,atyeti durgāśrita ūrjitārīn
5.1.18.4,kṣīṇeṣu kāmaṁ vicared vipaścit
5.1.19.1,tvaṁ tv abja-nābhāṅghri-saroja-kośa-
5.1.19.2,durgāśrito nirjita-ṣaṭ-sapatnaḥ
5.1.19.3,bhuṅkṣveha bhogān puruṣātidiṣṭān
5.1.19.4,vimukta-saṅgaḥ prakṛtiṁ bhajasva
5.1.20.1,śrī-śuka uvāca
5.1.21.1,bhagavān api manunā yathāvad upakalpitāpacitiḥ priyavrata-nāradayor aviṣamam abhisamīkṣamāṇayor ātmasam avasthānam avāṅ-manasaṁ kṣayam avyavahṛtaṁ pravartayann agamat.
5.1.22.1,manur api pareṇaivaṁ pratisandhita-manorathaḥ surarṣi-varānumatenātmajam akhila-dharā-maṇḍala-sthiti-guptaya āsthāpya svayam ati-viṣama-viṣaya-viṣa-jalāśayāśāyā upararāma.
5.1.23.1,iti ha vāva sa jagatī-patir īśvarecchayādhiniveśita-karmādhikāro ’khila-jagad-bandha-dhvaṁsana-parānubhāvasya bhagavata ādi-puruṣasyāṅghri-yugalānavarata-dhyānānubhāvena parirandhita-kaṣāyāśayo ’vadāto ’pi māna-vardhano mahatāṁ mahītalam anuśaśāsa.
5.1.24.1,atha ca duhitaraṁ prajāpater viśvakarmaṇa upayeme barhiṣmatīṁ nāma tasyām u ha vāva ātmajān ātma-samāna-śīla-guṇa-karma-rūpa-vīryodārān daśa bhāvayām babhūva kanyāṁ ca yavīyasīm ūrjasvatīṁ nāma.
