,source,target,prediction,origin
0,dhrtarastra uvaca,dhṛtarāṣṭra uvāca,dhṛtarāṣṭra uvāca,pdf
1,dharma-ksetre kuru-ksetre samaveta yuyutsavah,dharma-kṣetre kuru-kṣetre samavetā yuyutsavaḥ,dharma-kṣetre kuru-kṣetre samaveta yuyutsavaḥ,pdf
2,mamakah pandavas caiva kim akurvata sanjaya,māmakāḥ pāṇḍavāś caiva kim akurvata sañjaya,māmakaḥ paṇḍavaś caiva kim akurvata sañjaya,pdf
3,karpanya-dosopahata-svabhavah,kārpaṇya-doṣopahata-svabhāvaḥ,karpaṇya-doṣopahata-svabhavaḥ,pdf
4,prechami tvam dharma-sammudha-cetah,pṛcchāmi tvāṁ dharma-sammūḍha-cetāḥ,pṛcchāmi tvaṁ dharma-sammudha-cetaḥ,pdf
5,yac chreyah syan niscitam bruhi tan me,yac chreyaḥ syān niścitaṁ brūhi tan me,yac chreyaḥ syān niścitaṁ brūhi tan me,pdf
6,sisyas te 'ham sadhi mam tvam prapannam,śiṣyas te ’haṁ śādhi māṁ tvāṁ prapannam,śiśyas te ’haṁ sadhi maṁ tvaṁ prapannaṁ,pdf
7,sri-bhagavan uvaca,śrī-bhagavān uvāca,śrī-bhagavān uvāca,pdf
8,asocyan anvasocas tvam prajna-vadams ca bhasase,aśocyān anvaśocas tvaṁ prajñā-vādāṁś ca bhāṣase,aśocyān anvaśocas tvaṁ prajña-vadāṁś ca bhāsase,pdf
9,gatasun agatasums ca nanusocanti panditah,gatāsūn agatāsūṁś ca nānuśocanti paṇḍitāḥ,gatasūn agatasuṁś ca nanuśocanti paṇḍitaḥ,pdf
10,na tv evaham jatu nasam na tvam neme janadhipah,na tv evāhaṁ jātu nāsaṁ na tvaṁ neme janādhipāḥ,na tv evahaṁ jatu naśaṁ na tvaṁ neme janādhipaḥ,pdf
11,na caiva na bhavisyamah sarve vayam atah param,na caiva na bhaviṣyāmaḥ sarve vayam ataḥ param,na caiva na bhaviṣyamaḥ sarve vayam ataḥ param,pdf
12,dehino 'smin yatha dehe kaumaram yauvanam jara,dehino ’smin yathā dehe kaumāraṁ yauvanaṁ jarā,dehino ’smin yathā dehe kaumaraṁ yauvanaṁ jarā,pdf
13,tatha dehantara-praptir dhiras tatra na muhyati,tathā dehāntara-prāptir dhīras tatra na muhyati,tathā dehantara-praptir dhiras tatra na muhyati,pdf
14,matra-sparsas tu kaunteya sitosna-sukha-duhkha-dah,mātrā-sparśās tu kaunteya śītoṣṇa-sukha-duḥkha-dāḥ,matra-sparśas tu kaunteya sitoṣṇa-sukha-duḥkha-daḥ,pdf
15,agamapayino 'nityas tams titiksasva bharata,āgamāpāyino ’nityās tāṁs titikṣasva bhārata,agamapāyino ’nityas taṁs titikṣasva bhārata,pdf
16,avinasi tu tad viddhi yena sarvam idam tatam,avināśi tu tad viddhi yena sarvam idaṁ tatam,avināsi tu tad viddhi yena sarvam idaṁ tataṁ,pdf
17,vinasam avyayasyasya na kascit kartum arhati,vināśam avyayasyāsya na kaścit kartum arhati,vināsam avyayasyasya na kaścit kartum arhati,pdf
18,na jayate mriyate va kadacin nayam bhutva bhavita va na bhuyah,na jāyate mriyate vā kadācin nāyaṁ bhūtvā bhavitā vā na bhūyaḥ,na jāyate mriyate va kadācin nayaṁ bhūtvā bhavita va nā bhūyaḥ,pdf
