,source,target,prediction,origin
0,dhrtarastra uvaca,dhṛtarāṣṭra uvāca,dhrtarastra uvāca,pdf
1,dharma-ksetre kuru-ksetre samaveta yuyutsavah,dharma-kṣetre kuru-kṣetre samavetā yuyutsavaḥ,dharma-kṣetre kuru-kṣetre samaveta yuyutsavaḥ,pdf
2,mamakah pandavas caiva kim akurvata sanjaya,māmakāḥ pāṇḍavāś caiva kim akurvata sañjaya,mamakaḥ pandavas caiva kim akurvata sanjaya,pdf
3,karpanya-dosopahata-svabhavah,kārpaṇya-doṣopahata-svabhāvaḥ,karpaṇya-doṣopaḥata-svabhavaḥ,pdf
4,prechami tvam dharma-sammudha-cetah,pṛcchāmi tvāṁ dharma-sammūḍha-cetāḥ,prechaṁi tvaṁ dharma-sammudha-cetaḥ,pdf
5,yac chreyah syan niscitam bruhi tan me,yac chreyaḥ syān niścitaṁ brūhi tan me,yac chreyaḥ syan niṣcitaṁ bṛuhi tan me,pdf
6,sisyas te 'ham sadhi mam tvam prapannam,śiṣyas te ’haṁ śādhi māṁ tvāṁ prapannam,siśyas te ’haṁ sadhi mam tvaṁ prapannaṁ,pdf
7,sri-bhagavan uvaca,śrī-bhagavān uvāca,srī-bhagavan uvaca,pdf
8,asocyan anvasocas tvam prajna-vadams ca bhasase,aśocyān anvaśocas tvaṁ prajñā-vādāṁś ca bhāṣase,asocyan anvasocas tvaṁ prajña-vadams ca bhasase,pdf
9,gatasun agatasums ca nanusocanti panditah,gatāsūn agatāsūṁś ca nānuśocanti paṇḍitāḥ,gatasun agatasums ca nanuṣocanti panditaḥ,pdf
10,na tv evaham jatu nasam na tvam neme janadhipah,na tv evāhaṁ jātu nāsaṁ na tvaṁ neme janādhipāḥ,na tv evahaṁ jatu nasaṁ na tvaṁ neme janadhipaḥ,pdf
11,na caiva na bhavisyamah sarve vayam atah param,na caiva na bhaviṣyāmaḥ sarve vayam ataḥ param,na caiva na bhaviṣyaṁaḥ sarve vayaṁ ataḥ param,pdf
12,dehino 'smin yatha dehe kaumaram yauvanam jara,dehino ’smin yathā dehe kaumāraṁ yauvanaṁ jarā,dehino ’smin yatha dehe kaumaram yauvanaṁ jara,pdf
13,tatha dehantara-praptir dhiras tatra na muhyati,tathā dehāntara-prāptir dhīras tatra na muhyati,tathā dehantara-praptir dhiras tatra na muhyati,pdf
14,matra-sparsas tu kaunteya sitosna-sukha-duhkha-dah,mātrā-sparśās tu kaunteya śītoṣṇa-sukha-duḥkha-dāḥ,matra-sparṣas tu kaunteya sitoṣna-sukha-duḥkha-dah,pdf
15,agamapayino 'nityas tams titiksasva bharata,āgamāpāyino ’nityās tāṁs titikṣasva bhārata,agamapayino ’nityas tams titikṣasva bharata,pdf
16,avinasi tu tad viddhi yena sarvam idam tatam,avināśi tu tad viddhi yena sarvam idaṁ tatam,avinasi tu tad viddhi yena sarvam idam tatam,pdf
17,vinasam avyayasyasya na kascit kartum arhati,vināśam avyayasyāsya na kaścit kartum arhati,vinasaṁ avyayasyasya na kascit kartum arhati,pdf
18,na jayate mriyate va kadacin nayam bhutva bhavita va na bhuyah,na jāyate mriyate vā kadācin nāyaṁ bhūtvā bhavitā vā na bhūyaḥ,na jayate mṛiyate va kadacin nayaṁ bhutva bhavita va na bhuyaḥ,pdf
19,ajo nityah sasvato 'yam purano na hanyate hanyamane sarire,ajo nityaḥ śāśvato ’yaṁ purāṇo na hanyate hanyamāne śarīre,ajo nityaḥ sasvato ’yam puraṇo na hanyate hanyamane sarire,pdf
20,vasamsi jirnani yatha vihaya,vāsāṁsi jīrṇāni yathā vihāya,vasaṁsi jirṇani yatha vihaya,pdf
21,navani grhnati naro 'parani,navāni gṛhṇāti naro ’parāṇi,navani gṛhṇati naro ’paraṇi,pdf
22,tatha sarirani vihaya jirnany,tathā śarīrāṇi vihāya jīrṇāny,tathā sariraṇi vihaya jirṇany,pdf
23,anyani samyati navani dehi,anyāni saṁyāti navāni dehī,anyani samyati navani dehi,pdf
24,nainam chindanti sastrani nainam dahati pavakah,nainaṁ chindanti śastrāṇi nainaṁ dahati pāvakaḥ,nainaṁ chindanti sastraṇi nainaṁ dahati pavakaḥ,pdf
25,na cainam kledayanty apo na sosayati marutah,na cainaṁ kledayanty āpo na śoṣayati mārutaḥ,na cainaṁ kledayanty apo na soṣayati marutaḥ,pdf
26,nehabhikrama-naso 'sti pratyavayo na vidyate,nehābhikrama-nāśo ’sti pratyavāyo na vidyate,nehabhikrama-naso ’sti pratyavayo na vidyate,pdf
27,sv-alpam apy asya dharmasya trayate mahato bhayat,sv-alpam apy asya dharmasya trāyate mahato bhayāt,sv-alpam apy asya dharmasya trayate mahato bhayat,pdf
