ids,sentences,OCR
1.1.1.1,oṁ namo bhagavate vāsudevāya,om namo bhagavate vasudevaya
1.1.2.1,dharmaḥ projjhita-kaitavo ’tra paramo nirmatsarāṇāṁ satāṁ,dharmah projjhita-kaitavo 'tra paramo nirmatsaranam satam
1.1.2.2,vedyaṁ vāstavam atra vastu śivadaṁ tāpa-trayonmūlanam,vedyam vastavam atra vastu sivadam tapa-trayonmulanam
1.1.2.3,śrīmad-bhāgavate mahā-muni-kṛte kiṁ vā parair īśvaraḥ,Ssrimad-bhagavate maha-muni-krte kim va parair isvarah
1.1.2.4,sadyo hṛdy avarudhyate ’tra kṛtibhiḥ śuśrūṣubhis tat-kṣaṇāt,sadyo hrdy avarudhyate 'tra krtibhih sugsrusubhis tat-ksanat
1.1.3.1,nigama-kalpa-taror galitaṁ phalaṁ,nigama-kalpa-taror galitam phalam
1.1.3.2,śuka-mukhād amṛta-drava-saṁyutam,suka-mukhad amrta-drava-samyutam
1.1.3.3,pibata bhāgavataṁ rasam ālayam,pibata bhagavatam rasam alayam
1.1.3.4,muhur aho rasikā bhuvi bhāvukāḥ,muhur aho rasika bhuvi bhavukah
1.1.4.1,naimiṣe ’nimiṣa-kṣetre,naimise 'nimisa-ksetre
1.1.4.2,ṛṣayaḥ śaunakādayaḥ,rsayah saunakadayah
1.1.4.3,satraṁ svargāya lokāya,satram svargaya lokaya
1.1.4.4,sahasra-samam āsata,sahasra-samam asata
1.1.5.1,ta ekadā tu munayaḥ,ta ekada tu munayah
1.1.5.2,prātar huta-hutāgnayaḥ,pratar huta-hutagnayah
1.1.5.3,sat-kṛtaṁ sūtam āsīnaṁ,sat-krtam sutam asinam
1.1.5.4,papracchur idam ādarāt,papracchur idam adarat
1.1.6.1,ṛṣaya ūcuḥ,rsaya ucuh
1.1.7.1,yāni veda-vidāṁ śreṣṭho,yani veda-vidam srestho
1.1.7.2,bhagavān bādarāyaṇaḥ,bhagavan badarayanah
1.1.7.3,anye ca munayaḥ sūta,anye ca munayah suta
1.1.7.4,parāvara-vido viduḥ,paravara-vido viduh
1.1.8.1,vettha tvaṁ saumya tat sarvaṁ,vettha tvam saumya tat sarvam
1.1.8.2,tattvatas tad-anugrahāt,tattvatas tad-anugrahat
1.1.8.3,brūyuḥ snigdhasya śiṣyasya,brayuh snigdhasya sisyasya
1.1.8.4,guravo guhyam apy uta,guravo guhyam apy uta
1.1.9.1,tatra tatrāñjasāyuṣman,tatra tatranjasayusman
1.1.9.2,bhavatā yad viniścitam,bhavata yad viniscitam
1.1.9.3,puṁsām ekāntataḥ śreyas,pumsam ekantatah sreyas
1.1.9.4,tan naḥ śaṁsitum arhasi,tan nah samsitum arhasi
